Nome: LINS
Codigo Estacao: A727
Latitude: -21.66611111
Longitude: -49.73472221
Altitude: 460.65
Situacao: Operante
Data Inicial: 2018-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2019-03-24;0;31,6;25,4;20,1;
2019-03-25;0;33,7;26,2;20,2;
2019-03-26;0;34,3;26,6;20,6;
2019-03-27;0;33,6;26,4;21,2;
2019-03-28;null;null;null;null;
2019-03-29;null;null;null;null;
2019-03-30;null;null;null;null;
2019-03-31;null;null;null;null;
2019-04-01;null;null;null;null;
2019-04-02;null;null;null;null;
2019-04-03;null;null;null;null;
2019-04-04;null;null;null;null;
2019-04-05;null;null;null;null;
2019-04-06;null;null;null;null;
2019-04-07;null;null;null;null;
2019-04-08;null;null;null;null;
2019-04-09;0;27,6;22,5;18,7;
2019-04-10;0;28,9;22,6;18,1;
2019-04-11;0;31,2;23,6;17,5;
2019-04-12;0;32,3;25,1;19,5;
2019-04-13;0;30,8;24,6;21;
2019-04-14;23;24,6;22,5;21,2;
2019-04-15;3,8;29,6;23,5;19,3;
2019-04-16;0;32,1;25,4;20,9;
2019-04-17;0;31,9;25,1;19,3;
2019-04-18;0;31,6;24,8;18,6;
2019-04-19;null;null;null;null;
2019-04-20;null;null;null;null;
2019-04-21;null;null;null;null;
2019-04-22;null;null;null;null;
2019-04-23;null;null;null;null;
2019-04-24;null;null;null;null;
2019-04-25;null;null;null;null;
2019-04-26;null;null;null;null;
2019-04-27;null;null;null;null;
2019-04-28;0;33;24,3;20,7;
2019-04-29;14,4;28,7;23,4;20,5;
2019-04-30;0;30;23,3;18,1;
2019-05-01;0;30,3;24,2;20,1;
2019-05-02;0;31,5;25,2;21,6;
2019-05-03;0;31,8;26;20,8;
2019-05-04;0;32,1;25;20,4;
2019-05-05;0;32,1;26,1;21,4;
2019-05-06;0;32,5;26,2;21,4;
2019-05-07;0;31,1;25,2;20,9;
2019-05-08;0;30;24;19,1;
2019-05-09;0;32;24;17,4;
2019-05-10;0;31,9;24,1;19,4;
2019-05-11;5,2;31;23,9;21,1;
2019-05-12;8,6;31,8;24,9;20,8;
2019-05-13;0;31,1;25,5;20,6;
2019-05-14;0;27,9;23,1;19,9;
2019-05-15;0;26;20,3;16,1;
2019-05-16;0;26,1;21,1;18;
2019-05-17;0;26,1;20,6;17,6;
2019-05-18;0;27,6;20,9;16,9;
2019-05-19;0;27;20,6;16,4;
2019-05-20;0;28,2;20,6;14,5;
2019-05-21;0;28,7;20,8;14,5;
2019-05-22;0;29,9;20,7;12,8;
2019-05-23;0;30,9;22,2;14,9;
2019-05-24;1,6;23,6;19;18,9;
2019-05-25;1;22,4;15,2;8,6;
2019-05-26;0;25,7;17,2;11,2;
2019-05-27;0;29,9;19,4;12,4;
2019-05-28;0;32,4;22,3;13,8;
2019-05-29;4,6;30,8;23,6;18,7;
2019-05-30;0;32,8;24,9;19,4;
2019-05-31;0;32,3;24;18,4;
2019-06-01;0;32;23,8;17,5;
2019-06-02;0;30,5;22,9;17,6;
2019-06-03;15,4;22,5;19,2;17,1;
2019-06-04;3,2;22,8;17,7;13,8;
2019-06-05;0;22,6;16,2;10,8;
2019-06-06;0;25,5;18,2;12,7;
2019-06-07;0;27,7;19,6;12,8;
2019-06-08;0;26,6;19,1;13,4;
2019-06-09;0;26,2;19,6;13,8;
2019-06-10;0;27,4;20;14;
2019-06-11;0;28,1;21,2;15,1;
2019-06-12;0;28,9;21,8;16,7;
2019-06-13;0;30,6;23;17;
2019-06-14;0;30,9;23,5;17,2;
2019-06-15;0;29,4;22,7;16,7;
2019-06-16;0;29,7;22,4;16,4;
2019-06-17;0;28,3;21,7;15,6;
2019-06-18;0;28,5;21,1;14,5;
2019-06-19;0;29,6;21,5;15;
